ward_code,ward_name,pt_accessibility_2013,Homes _os_access_2013
E09000001,City of London,29.20242418,-9.529811528
E05000026,Abbey,15.81806293,-1.308451267
E05000027,Alibon,-4.501940254,-2.634394396
E05000028,Becontree,-6.460878767,-8.045513222
E05000029,Chadwell Heath,-10.82617747,2.909091393
E05000030,Eastbrook,-10.50595898,8.366009213
E05000031,Eastbury,-7.462612775,-12.11682938
E05000032,Gascoigne,-3.880275993,-14.72779336
E05000033,Goresbrook,-9.437743336,7.100812633
E05000034,Heath,-8.031058679,0.648067705
E05000035,Longbridge,-5.109224656,-3.22114277
E05000036,Mayesbrook,-9.146880604,3.567957715
E05000037,Parsloes,-7.721188953,-2.517819304
E05000038,River,-5.475005882,4.299257843
E05000039,Thames,-11.7339653,-9.307647073
E05000040,Valence,-3.959111382,-3.504067108
E05000041,Village,-7.78425794,11.57636659
E05000042,Whalebone,-6.231765261,-22.3176892
E05000043,Brunswick Park,-6.349523499,1.189154496
E05000044,Burnt Oak,-1.35449734,-10.89898507
E05000045,Childs Hill,5.440673415,-1.489716472
E05000046,Colindale,-9.147232326,-9.346866117
E05000047,Coppetts,-6.231488747,-2.993762722
E05000048,East Barnet,-7.17545726,6.2757222
E05000049,East Finchley,-8.22026406,-5.074685054
E05000050,Edgware,-5.479185225,-5.549580218
E05000051,Finchley Church End,-6.264269079,-19.61928775
E05000052,Garden Suburb,-7.550194903,2.077718271
E05000053,Golders Green,-2.662564683,-13.13757758
E05000054,Hale,-8.544142514,-7.566651981
E05000055,Hendon,-7.83873206,-10.7854587
E05000056,High Barnet,-7.872519298,5.527562731
E05000057,Mill Hill,-10.66880292,5.418041884
E05000058,Oakleigh,-3.689289761,-11.45248637
E05000059,Totteridge,-8.792029496,11.76910949
E05000060,Underhill,-8.352804247,6.653926119
E05000061,West Finchley,-0.992368754,-23.62875303
E05000062,West Hendon,-1.622122462,-0.261030218
E05000063,Woodhouse,-6.417304526,-16.94321023
E05000064,Barnehurst,-4.573218682,-2.562518592
E05000065,Belvedere,-7.31272108,6.646664097
E05000066,Blackfen and Lamorbey,-12.32203237,-7.363355919
E05000067,Blendon and Penhill,-12.22090998,1.582999399
E05000068,Brampton,-7.937192192,-12.52847549
E05000069,Christchurch,-2.52696903,-4.243435175
E05000070,Colyers,-12.34395731,-17.58657988
E05000071,Crayford,-12.30788836,-4.283242868
E05000072,Cray Meadows,-10.43526741,15.58366469
E05000073,Danson Park,-5.992834726,8.679929569
E05000074,East Wickham,-9.443357008,-3.461548444
E05000075,Erith,-8.743144403,10.19129324
E05000076,Falconwood and Welling,-9.93962654,-13.88471148
E05000077,Lesnes Abbey,-7.120292268,7.115022437
E05000078,Longlands,-8.029341374,4.1129559
